DEPTO,MPIO,ESTRATO_PREDOMINANTE_INT,n_manzanas
Risaralda,Belén De Umbría,1.0,2
Risaralda,Belén De Umbría,2.0,129
Risaralda,Belén De Umbría,3.0,38
Risaralda,Belén De Umbría,4.0,6
Risaralda,Dosquebradas,1.0,312
Risaralda,Dosquebradas,2.0,852
Risaralda,Dosquebradas,3.0,679
Risaralda,Dosquebradas,4.0,71
Risaralda,Dosquebradas,5.0,2
Risaralda,Guática,1.0,29
Risaralda,Guática,2.0,43
Risaralda,Guática,3.0,10
Risaralda,La Celia,1.0,18
Risaralda,La Celia,2.0,32
Risaralda,La Celia,3.0,14
Risaralda,La Virginia,1.0,93
Risaralda,La Virginia,2.0,93
Risaralda,La Virginia,3.0,114
Risaralda,Marsella,1.0,23
Risaralda,Marsella,2.0,97
Risaralda,Marsella,3.0,18
Risaralda,Mistrató,1.0,9
Risaralda,Mistrató,2.0,53
Risaralda,Mistrató,3.0,4
Risaralda,Pereira,1.0,768
Risaralda,Pereira,2.0,1145
Risaralda,Pereira,3.0,770
Risaralda,Pereira,4.0,471
Risaralda,Pereira,5.0,195
Risaralda,Pereira,6.0,129
Risaralda,Pueblo Rico,1.0,25
Risaralda,Pueblo Rico,2.0,29
Risaralda,Pueblo Rico,3.0,2
Risaralda,Quinchía,1.0,34
Risaralda,Quinchía,2.0,46
Risaralda,Quinchía,3.0,63
Risaralda,Santa Rosa De Cabal,1.0,109
Risaralda,Santa Rosa De Cabal,2.0,352
Risaralda,Santa Rosa De Cabal,3.0,258
Risaralda,Santa Rosa De Cabal,4.0,25
Risaralda,Santa Rosa De Cabal,5.0,4
Risaralda,Santa Rosa De Cabal,6.0,1
Risaralda,Santuario,1.0,8
Risaralda,Santuario,2.0,47
Risaralda,Santuario,3.0,36
Santander,Aguada,1.0,1
Santander,Aguada,2.0,12
Santander,Albania,1.0,6
Santander,Albania,2.0,8
Santander,Albania,3.0,1
Santander,Aratoca,1.0,33
Santander,Aratoca,2.0,25
Santander,Barbosa,1.0,64
Santander,Barbosa,2.0,141
Santander,Barbosa,3.0,127
Santander,Barbosa,4.0,1
Santander,Barichara,1.0,4
Santander,Barichara,2.0,39
Santander,Barichara,3.0,40
Santander,Barrancabermeja,1.0,1136
Santander,Barrancabermeja,2.0,943
Santander,Barrancabermeja,3.0,371
Santander,Barrancabermeja,4.0,245
Santander,Barrancabermeja,5.0,14
Santander,Betulia,1.0,21
Santander,Betulia,2.0,38
Santander,Betulia,3.0,1
Santander,Bolívar,1.0,5
Santander,Bolívar,2.0,24
Santander,Bolívar,3.0,1
Santander,Bucaramanga,1.0,1579
Santander,Bucaramanga,2.0,844
Santander,Bucaramanga,3.0,996
Santander,Bucaramanga,4.0,737
Santander,Bucaramanga,5.0,80
Santander,Bucaramanga,6.0,127
Santander,Cabrera,1.0,10
Santander,Cabrera,2.0,8
Santander,California,1.0,14
Santander,California,2.0,6
Santander,Capitanejo,1.0,54
Santander,Capitanejo,2.0,25
Santander,Carcasí,1.0,17
Santander,Carcasí,2.0,2
Santander,Cepitá,1.0,6
Santander,Cepitá,2.0,6
Santander,Cerrito,1.0,49
Santander,Cerrito,2.0,17
Santander,Charalá,1.0,6
Santander,Charalá,2.0,56
Santander,Charalá,3.0,52
Santander,Charta,1.0,23
Santander,Charta,2.0,6
Santander,Chima,1.0,7
Santander,Chima,2.0,11
Santander,Chipatá,2.0,14
Santander,Cimitarra,1.0,120
Santander,Cimitarra,2.0,76
Santander,Cimitarra,3.0,14
Santander,Concepción,1.0,23
Santander,Concepción,2.0,34
Santander,Confines,1.0,6
Santander,Confines,2.0,13
Santander,Contratación,1.0,7
Santander,Contratación,2.0,66
Santander,Coromoro,1.0,3
Santander,Coromoro,2.0,19
Santander,Curití,1.0,23
Santander,Curití,2.0,60
Santander,Curití,3.0,2
Santander,El Carmen De Chucuri,1.0,1
Santander,El Carmen De Chucuri,2.0,43
Santander,El Guacamayo,1.0,2
Santander,El Guacamayo,2.0,15
Santander,El Peñón,1.0,19
Santander,El Peñón,2.0,5
Santander,El Playón,1.0,43
Santander,El Playón,2.0,55
Santander,Encino,1.0,4
Santander,Encino,2.0,8
Santander,Enciso,1.0,5
Santander,Enciso,2.0,15
Santander,Floridablanca,1.0,429
Santander,Floridablanca,2.0,853
Santander,Floridablanca,3.0,532
Santander,Floridablanca,4.0,153
Santander,Floridablanca,5.0,55
Santander,Floridablanca,6.0,11
Santander,Florián,1.0,11
Santander,Florián,2.0,18
Santander,Galán,1.0,10
Santander,Galán,2.0,16
Santander,Girón,1.0,620
Santander,Girón,2.0,482
Santander,Girón,3.0,408
Santander,Girón,4.0,10
Santander,Girón,5.0,1
Santander,Guaca,1.0,22
Santander,Guaca,2.0,19
Santander,Guadalupe,1.0,7
Santander,Guadalupe,2.0,28
Santander,Guapotá,1.0,11
Santander,Guapotá,2.0,11
Santander,Guavatá,1.0,18
Santander,Guavatá,2.0,2
Santander,Gámbita,1.0,6
Santander,Gámbita,2.0,12
Santander,Gámbita,3.0,4
Santander,Güepsa,1.0,35
Santander,Güepsa,2.0,14
Santander,Hato,1.0,9
Santander,Hato,2.0,15
Santander,Jesús María,2.0,16
Santander,Jordán,1.0,4
Santander,La Belleza,1.0,2
Santander,La Belleza,2.0,32
Santander,La Paz,2.0,17
Santander,Landázuri,1.0,30
Santander,Landázuri,2.0,13
Santander,Landázuri,3.0,1
Santander,Lebrija,1.0,78
Santander,Lebrija,2.0,112
Santander,Lebrija,3.0,58
Santander,Lebrija,4.0,1
Santander,Los Santos,1.0,11
Santander,Los Santos,2.0,22
Santander,Macaravita,1.0,4
Santander,Macaravita,2.0,7
Santander,Matanza,1.0,5
Santander,Matanza,2.0,27
Santander,Mogotes,1.0,49
Santander,Mogotes,2.0,25
Santander,Molagavita,1.0,10
Santander,Molagavita,2.0,16
Santander,Málaga,1.0,54
Santander,Málaga,2.0,168
Santander,Málaga,3.0,7
Santander,Ocamonte,1.0,1
Santander,Ocamonte,2.0,21
Santander,Oiba,1.0,9
Santander,Oiba,2.0,63
Santander,Oiba,3.0,29
Santander,Onzaga,1.0,15
Santander,Onzaga,2.0,21
Santander,Palmar,1.0,17
Santander,Palmar,2.0,3
Santander,Palmas Del Socorro,1.0,12
Santander,Palmas Del Socorro,2.0,16
Santander,Piedecuesta,1.0,50
Santander,Piedecuesta,2.0,396
Santander,Piedecuesta,3.0,662
Santander,Piedecuesta,4.0,53
Santander,Piedecuesta,5.0,6
Santander,Pinchote,1.0,4
Santander,Pinchote,2.0,20
Santander,Pinchote,3.0,1
Santander,Puente Nacional,1.0,16
Santander,Puente Nacional,2.0,46
Santander,Puente Nacional,3.0,30
Santander,Puerto Parra,1.0,41
Santander,Puerto Parra,2.0,9
Santander,Puerto Wilches,1.0,252
Santander,Puerto Wilches,2.0,31
Santander,Páramo,1.0,2
Santander,Páramo,2.0,28
Santander,Páramo,3.0,3
Santander,Rionegro,1.0,18
Santander,Rionegro,2.0,47
Santander,Rionegro,3.0,29
Santander,Sabana De Torres,1.0,218
Santander,Sabana De Torres,2.0,109
Santander,Sabana De Torres,3.0,63
Santander,San Andrés,1.0,15
Santander,San Andrés,2.0,50
Santander,San Benito,2.0,6
Santander,San Gil,1.0,13
Santander,San Gil,2.0,282
Santander,San Gil,3.0,353
Santander,San Gil,4.0,36
Santander,San Gil,5.0,3
Santander,San Joaquín,1.0,10
Santander,San Joaquín,2.0,11
Santander,San José De Miranda,1.0,4
Santander,San José De Miranda,2.0,17
Santander,San Miguel,1.0,6
Santander,San Miguel,2.0,11
Santander,San Vicente De Chucurí,1.0,60
Santander,San Vicente De Chucurí,2.0,119
Santander,San Vicente De Chucurí,3.0,4
Santander,Santa Bárbara,2.0,8
Santander,Santa Helena Del Opón,1.0,9
Santander,Santa Helena Del Opón,2.0,9
Santander,Simacota,1.0,8
Santander,Simacota,2.0,36
Santander,Socorro,1.0,12
Santander,Socorro,2.0,263
Santander,Socorro,3.0,89
Santander,Socorro,4.0,8
Santander,Suaita,1.0,11
Santander,Suaita,2.0,37
Santander,Suaita,3.0,4
Santander,Sucre,1.0,13
Santander,Suratá,1.0,16
Santander,Suratá,2.0,16
Santander,Suratá,3.0,1
Santander,Tona,1.0,6
Santander,Tona,2.0,10
Santander,Valle De San José,1.0,1
Santander,Valle De San José,2.0,47
Santander,Valle De San José,3.0,5
Santander,Vetas,1.0,7
Santander,Vetas,2.0,10
Santander,Villanueva,1.0,23
Santander,Villanueva,2.0,61
Santander,Villanueva,3.0,9
Santander,Vélez,1.0,54
Santander,Vélez,2.0,81
Santander,Vélez,3.0,18
Santander,Zapatoca,1.0,45
Santander,Zapatoca,2.0,81
Santander,Zapatoca,3.0,15
Sucre,Buenavista,1.0,153
Sucre,Buenavista,2.0,7
Sucre,Caimito,1.0,81
Sucre,Caimito,2.0,1
Sucre,Chalán,1.0,46
Sucre,Colosó,1.0,74
Sucre,Corozal,1.0,494
Sucre,Corozal,2.0,262
Sucre,Corozal,3.0,22
Sucre,Corozal,4.0,5
Sucre,Coveñas,1.0,63
Sucre,Coveñas,2.0,56
Sucre,Coveñas,3.0,1
Sucre,El Roble,1.0,87
Sucre,Galeras,1.0,183
Sucre,Galeras,2.0,2
Sucre,Guaranda,1.0,129
Sucre,La Unión,1.0,106
Sucre,La Unión,2.0,5
Sucre,Los Palmitos,1.0,127
Sucre,Los Palmitos,2.0,3
Sucre,Majagual,1.0,184
Sucre,Majagual,2.0,2
Sucre,Morroa,1.0,167
Sucre,Morroa,2.0,17
Sucre,Ovejas,1.0,196
Sucre,Ovejas,2.0,4
Sucre,Palmito,1.0,73
Sucre,Sampués,1.0,222
Sucre,Sampués,2.0,102
Sucre,San Benito Abad,1.0,104
Sucre,San Benito Abad,2.0,1
Sucre,San José De Toluviejo,1.0,100
Sucre,San José De Toluviejo,2.0,7
Sucre,San Juan De Betulia,1.0,90
Sucre,San Juan De Betulia,2.0,54
Sucre,San Luis De Sincé,1.0,303
Sucre,San Luis De Sincé,2.0,39
Sucre,San Luis De Sincé,3.0,3
Sucre,San Marcos,1.0,310
Sucre,San Marcos,2.0,74
Sucre,San Marcos,3.0,23
Sucre,San Onofre,1.0,342
Sucre,San Onofre,2.0,10
Sucre,San Pedro,1.0,213
Sucre,San Pedro,2.0,10
Sucre,Santiago De Tolú,1.0,272
Sucre,Santiago De Tolú,2.0,123
Sucre,Sincelejo,1.0,2061
Sucre,Sincelejo,2.0,899
Sucre,Sincelejo,3.0,201
Sucre,Sincelejo,4.0,105
Sucre,Sincelejo,5.0,16
Sucre,Sincelejo,6.0,13
Sucre,Sucre,1.0,108
Tolima,Alpujarra,1.0,9
Tolima,Alpujarra,2.0,46
Tolima,Alvarado,1.0,26
Tolima,Alvarado,2.0,48
Tolima,Ambalema,1.0,93
Tolima,Ambalema,2.0,28
Tolima,Ambalema,3.0,2
Tolima,Anzoátegui,1.0,20
Tolima,Anzoátegui,2.0,15
Tolima,Armero,1.0,98
Tolima,Armero,2.0,53
Tolima,Ataco,1.0,66
Tolima,Ataco,2.0,31
Tolima,Ataco,3.0,1
Tolima,Cajamarca,1.0,11
Tolima,Cajamarca,2.0,114
Tolima,Cajamarca,3.0,15
Tolima,Carmen De Apicalá,1.0,25
Tolima,Carmen De Apicalá,2.0,153
Tolima,Carmen De Apicalá,3.0,12
Tolima,Carmen De Apicalá,4.0,3
Tolima,Carmen De Apicalá,5.0,1
Tolima,Casabianca,1.0,19
Tolima,Casabianca,2.0,21
Tolima,Chaparral,1.0,251
Tolima,Chaparral,2.0,163
Tolima,Chaparral,3.0,47
Tolima,Coello,1.0,18
Tolima,Coello,2.0,20
Tolima,Coyaima,1.0,32
Tolima,Coyaima,2.0,51
Tolima,Cunday,1.0,26
Tolima,Cunday,2.0,39
Tolima,Dolores,1.0,65
Tolima,Dolores,2.0,22
Tolima,Espinal,1.0,143
Tolima,Espinal,2.0,464
Tolima,Espinal,3.0,161
Tolima,Espinal,4.0,16
Tolima,Falan,1.0,16
Tolima,Falan,2.0,18
Tolima,Flandes,1.0,24
Tolima,Flandes,2.0,246
Tolima,Flandes,3.0,179
Tolima,Fresno,1.0,62
Tolima,Fresno,2.0,105
Tolima,Fresno,3.0,21
Tolima,Guamo,1.0,102
Tolima,Guamo,2.0,146
Tolima,Guamo,3.0,6
Tolima,Herveo,1.0,5
Tolima,Herveo,2.0,42
Tolima,Honda,1.0,173
Tolima,Honda,2.0,193
Tolima,Honda,3.0,65
Tolima,Honda,4.0,8
Tolima,Ibagué,1.0,1004
Tolima,Ibagué,2.0,2527
Tolima,Ibagué,3.0,1047
Tolima,Ibagué,4.0,280
Tolima,Ibagué,5.0,51
Tolima,Ibagué,6.0,6
Tolima,Icononzo,1.0,30
Tolima,Icononzo,2.0,38
Tolima,Lérida,1.0,89
Tolima,Lérida,2.0,229
Tolima,Lérida,3.0,12
Tolima,Líbano,1.0,60
Tolima,Líbano,2.0,190
Tolima,Líbano,3.0,76
Tolima,Líbano,4.0,8
Tolima,Melgar,1.0,76
Tolima,Melgar,2.0,221
Tolima,Melgar,3.0,120
Tolima,Melgar,4.0,8
Tolima,Melgar,5.0,8
Tolima,Murillo,1.0,22
Tolima,Murillo,2.0,20
Tolima,Natagaima,1.0,73
Tolima,Natagaima,2.0,72
Tolima,Natagaima,3.0,8
Tolima,Ortega,1.0,28
Tolima,Ortega,2.0,65
Tolima,Ortega,3.0,4
Tolima,Palocabildo,1.0,17
Tolima,Palocabildo,2.0,35
Tolima,Palocabildo,3.0,3
Tolima,Piedras,1.0,29
Tolima,Piedras,2.0,33
Tolima,Planadas,1.0,79
Tolima,Planadas,2.0,57
Tolima,Planadas,3.0,1
Tolima,Prado,1.0,61
Tolima,Prado,2.0,31
Tolima,Purificación,1.0,107
Tolima,Purificación,2.0,129
Tolima,Purificación,3.0,1
Tolima,Rioblanco,1.0,51
Tolima,Rioblanco,2.0,19
Tolima,Roncesvalles,1.0,16
Tolima,Roncesvalles,2.0,31
Tolima,Rovira,1.0,120
Tolima,Rovira,2.0,50
Tolima,Rovira,3.0,3
Tolima,Saldaña,1.0,40
Tolima,Saldaña,2.0,88
Tolima,Saldaña,3.0,3
Tolima,San Antonio,1.0,41
Tolima,San Antonio,2.0,33
Tolima,San Luis,1.0,45
Tolima,San Luis,2.0,12
Tolima,San Sebastián De Mariquita,1.0,254
Tolima,San Sebastián De Mariquita,2.0,159
Tolima,San Sebastián De Mariquita,3.0,14
Tolima,Santa Isabel,1.0,31
Tolima,Santa Isabel,2.0,14
Tolima,Suárez,1.0,21
Tolima,Suárez,2.0,13
Tolima,Valle De San Juan,1.0,36
Tolima,Valle De San Juan,2.0,14
Tolima,Venadillo,1.0,76
Tolima,Venadillo,2.0,66
Tolima,Villahermosa,1.0,24
Tolima,Villahermosa,2.0,47
Tolima,Villarrica,1.0,37
Tolima,Villarrica,2.0,15
Valle Del Cauca,Alcalá,1.0,51
Valle Del Cauca,Alcalá,2.0,84
Valle Del Cauca,Alcalá,3.0,7
Valle Del Cauca,Andalucía,1.0,32
Valle Del Cauca,Andalucía,2.0,167
Valle Del Cauca,Andalucía,3.0,1
Valle Del Cauca,Ansermanuevo,1.0,71
Valle Del Cauca,Ansermanuevo,2.0,69
Valle Del Cauca,Ansermanuevo,3.0,4
Valle Del Cauca,Argelia,1.0,24
Valle Del Cauca,Argelia,2.0,33
Valle Del Cauca,Bolívar,1.0,39
Valle Del Cauca,Bolívar,2.0,51
Valle Del Cauca,Bolívar,3.0,5
Valle Del Cauca,Buenaventura,1.0,1877
Valle Del Cauca,Buenaventura,2.0,311
Valle Del Cauca,Buenaventura,3.0,302
Valle Del Cauca,Buenaventura,4.0,15
Valle Del Cauca,Bugalagrande,1.0,54
Valle Del Cauca,Bugalagrande,2.0,84
Valle Del Cauca,Bugalagrande,3.0,13
Valle Del Cauca,Caicedonia,1.0,2
Valle Del Cauca,Caicedonia,2.0,155
Valle Del Cauca,Caicedonia,3.0,116
Valle Del Cauca,Caicedonia,4.0,4
Valle Del Cauca,Caicedonia,5.0,1
Valle Del Cauca,Cali,1.0,3365
Valle Del Cauca,Cali,2.0,3646
Valle Del Cauca,Cali,3.0,3853
Valle Del Cauca,Cali,4.0,1095
Valle Del Cauca,Cali,5.0,874
Valle Del Cauca,Cali,6.0,306
Valle Del Cauca,Calima,1.0,65
Valle Del Cauca,Calima,2.0,117
Valle Del Cauca,Calima,3.0,9
Valle Del Cauca,Candelaria,1.0,26
Valle Del Cauca,Candelaria,2.0,105
Valle Del Cauca,Candelaria,3.0,27
Valle Del Cauca,Cartago,1.0,206
Valle Del Cauca,Cartago,2.0,608
Valle Del Cauca,Cartago,3.0,575
Valle Del Cauca,Cartago,4.0,121
Valle Del Cauca,Cartago,5.0,33
Valle Del Cauca,Cartago,6.0,2
Valle Del Cauca,Dagua,1.0,109
Valle Del Cauca,Dagua,2.0,68
Valle Del Cauca,Dagua,3.0,8
Valle Del Cauca,El Cairo,1.0,32
Valle Del Cauca,El Cairo,2.0,28
Valle Del Cauca,El Cerrito,1.0,144
Valle Del Cauca,El Cerrito,2.0,265
Valle Del Cauca,El Cerrito,3.0,24
Valle Del Cauca,El Dovio,1.0,41
Valle Del Cauca,El Dovio,2.0,61
Valle Del Cauca,El Águila,1.0,20
Valle Del Cauca,El Águila,2.0,37
Valle Del Cauca,El Águila,3.0,3
Valle Del Cauca,Florida,1.0,207
Valle Del Cauca,Florida,2.0,173
Valle Del Cauca,Florida,3.0,24
Valle Del Cauca,Ginebra,1.0,18
Valle Del Cauca,Ginebra,2.0,104
Valle Del Cauca,Ginebra,3.0,31
Valle Del Cauca,Guacarí,1.0,13
Valle Del Cauca,Guacarí,2.0,204
Valle Del Cauca,Guacarí,3.0,1
Valle Del Cauca,Guadalajara De Buga,1.0,175
Valle Del Cauca,Guadalajara De Buga,2.0,444
Valle Del Cauca,Guadalajara De Buga,3.0,247
Valle Del Cauca,Guadalajara De Buga,4.0,127
Valle Del Cauca,Guadalajara De Buga,5.0,68
Valle Del Cauca,Guadalajara De Buga,6.0,6
Valle Del Cauca,Jamundí,1.0,36
Valle Del Cauca,Jamundí,2.0,642
Valle Del Cauca,Jamundí,3.0,204
Valle Del Cauca,Jamundí,4.0,76
Valle Del Cauca,Jamundí,5.0,44
Valle Del Cauca,La Cumbre,1.0,18
Valle Del Cauca,La Cumbre,2.0,42
Valle Del Cauca,La Unión,1.0,139
Valle Del Cauca,La Unión,2.0,156
Valle Del Cauca,La Unión,3.0,15
Valle Del Cauca,La Victoria,1.0,69
Valle Del Cauca,La Victoria,2.0,63
Valle Del Cauca,La Victoria,3.0,1
Valle Del Cauca,Obando,1.0,71
Valle Del Cauca,Obando,2.0,35
Valle Del Cauca,Palmira,1.0,102
Valle Del Cauca,Palmira,2.0,1352
Valle Del Cauca,Palmira,3.0,823
Valle Del Cauca,Palmira,4.0,203
Valle Del Cauca,Palmira,5.0,50
Valle Del Cauca,Pradera,1.0,149
Valle Del Cauca,Pradera,2.0,213
Valle Del Cauca,Pradera,3.0,68
Valle Del Cauca,Restrepo,1.0,31
Valle Del Cauca,Restrepo,2.0,112
Valle Del Cauca,Restrepo,3.0,15
Valle Del Cauca,Riofrío,1.0,52
Valle Del Cauca,Riofrío,2.0,38
Valle Del Cauca,Riofrío,3.0,2
Valle Del Cauca,Roldanillo,1.0,110
Valle Del Cauca,Roldanillo,2.0,205
Valle Del Cauca,Roldanillo,3.0,76
Valle Del Cauca,Roldanillo,4.0,2
Valle Del Cauca,San Pedro,1.0,7
Valle Del Cauca,San Pedro,2.0,55
Valle Del Cauca,San Pedro,3.0,12
Valle Del Cauca,Sevilla,1.0,115
Valle Del Cauca,Sevilla,2.0,179
Valle Del Cauca,Sevilla,3.0,78
Valle Del Cauca,Sevilla,4.0,1
Valle Del Cauca,Toro,1.0,46
Valle Del Cauca,Toro,2.0,89
Valle Del Cauca,Toro,3.0,9
Valle Del Cauca,Trujillo,1.0,27
Valle Del Cauca,Trujillo,2.0,57
Valle Del Cauca,Trujillo,3.0,11
Valle Del Cauca,Tuluá,1.0,52
Valle Del Cauca,Tuluá,2.0,755
Valle Del Cauca,Tuluá,3.0,557
Valle Del Cauca,Tuluá,4.0,111
Valle Del Cauca,Tuluá,5.0,155
Valle Del Cauca,Tuluá,6.0,1
Valle Del Cauca,Ulloa,1.0,10
Valle Del Cauca,Ulloa,2.0,30
Valle Del Cauca,Ulloa,3.0,1
Valle Del Cauca,Versalles,1.0,29
Valle Del Cauca,Versalles,2.0,20
Valle Del Cauca,Versalles,3.0,36
Valle Del Cauca,Vijes,1.0,5
Valle Del Cauca,Vijes,2.0,113
Valle Del Cauca,Vijes,3.0,10
Valle Del Cauca,Yotoco,1.0,22
Valle Del Cauca,Yotoco,2.0,72
Valle Del Cauca,Yotoco,3.0,2
Valle Del Cauca,Yumbo,1.0,319
Valle Del Cauca,Yumbo,2.0,500
Valle Del Cauca,Yumbo,3.0,113
Valle Del Cauca,Yumbo,5.0,2
Valle Del Cauca,Yumbo,6.0,1
Valle Del Cauca,Zarzal,1.0,62
Valle Del Cauca,Zarzal,2.0,222
Valle Del Cauca,Zarzal,3.0,73
Vaupés,Carurú,1.0,18
Vaupés,Carurú,2.0,1
Vaupés,Mitú,1.0,98
Vaupés,Mitú,3.0,1
Vaupés,Taraira,1.0,13
Vaupés,Taraira,3.0,1
Vichada,Cumaribo,1.0,82
Vichada,La Primavera,1.0,144
Vichada,La Primavera,2.0,4
Vichada,Puerto Carreño,1.0,203
Vichada,Puerto Carreño,2.0,46
Vichada,Puerto Carreño,3.0,6
Vichada,Santa Rosalía,1.0,50
Vichada,Santa Rosalía,2.0,1
