Departamento,Municipio,Codigo_DANE,Tipo_ruralidad
Valle del Cauca,Candelaria,76130,Ciudades y aglomeraciones
Valle del Cauca,Cartago,76147,Ciudades y aglomeraciones
Valle del Cauca,Florida,76275,Ciudades y aglomeraciones
Valle del Cauca,Guadalajara de Buga,76111,Ciudades y aglomeraciones
Valle del Cauca,Jamundí,76364,Ciudades y aglomeraciones
Valle del Cauca,Palmira,76520,Ciudades y aglomeraciones
Valle del Cauca,Pradera,76563,Ciudades y aglomeraciones
Valle del Cauca,Tuluá,76834,Ciudades y aglomeraciones
Valle del Cauca,Vijes,76869,Ciudades y aglomeraciones
Valle del Cauca,Yumbo,76892,Ciudades y aglomeraciones
Valle del Cauca,Tarazá,5790,Intermedio
Valle del Cauca,Tarso,5792,Intermedio
Valle del Cauca,Titiribí,5809,Intermedio
Valle del Cauca,Venecia,5861,Intermedio
Valle del Cauca,Yarumal,5887,Intermedio
Arauca,Arauca,81001,Intermedio
Arauca,Saravena,81736,Intermedio
Archipiélago de San Andrés,Providencia,88564,Intermedio
Archipiélago de San Andrés,San Andrés,88001,Intermedio
Atlántico,Campo de La Cruz,8137,Intermedio
Atlántico,Candelaria,8141,Intermedio
Atlántico,Juan de Acosta,8372,Intermedio
Atlántico,Luruaco,8421,Intermedio
Atlántico,Manatí,8436,Intermedio
Atlántico,Repelón,8606,Intermedio
Atlántico,Santa Lucía,8675,Intermedio
Atlántico,Suán,8770,Intermedio
Bolívar,Arroyohondo,13062,Intermedio
Bolívar,Calamar,13140,Intermedio
Bolívar,Cicuco,13188,Intermedio
Bolívar,El Carmen de Bolívar,13244,Intermedio
Bolívar,Magangué,13430,Intermedio
Bolívar,Mahates,13433,Intermedio
Bolívar,María La Baja,13442,Intermedio
Bolívar,Mompós,13468,Intermedio
Bolívar,Regidor,13580,Intermedio
Bolívar,San Estanislao,13647,Intermedio
Bolívar,San Juan Nepomuceno,13657,Intermedio
Bolívar,San Pablo,13670,Intermedio
Bolívar,Santa Catalina,13673,Intermedio
Bolívar,Soplaviento,13760,Intermedio
Boyacá,Belén,15087,Intermedio
Boyacá,Cerinza,15162,Intermedio
