Área,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Nacional,41.0,38.7,37.0,36.8,36.8,35.9,35.5,36.5,43.1,39.7,36.6,34.6,31.8
Cabeceras,35.3,33.2,31.2,30.8,31.6,31.1,30.7,31.4,41.5,37.0,33.8,31.8,28.6
Centros poblados y rural disperso,58.9,55.7,54.9,55.4,52.9,50.9,51.0,52.6,48.6,48.5,45.9,44.0,42.5
13 ciudades y A.M.,29.7,27.5,26.1,25.6,26.4,26.5,26.1,27.0,39.3,33.7,29.9,27.2,24.0
Otras cabeceras,43.4,41.6,38.7,38.3,39.1,37.6,37.0,37.7,44.5,41.5,39.3,38.0,34.8
