departamento,anio,tasa_desercion
Amazonas,2010,0.39
Antioquia,2010,0.09871423913929415
Arauca,2010,0.09217046580773043
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2010,0.1
Atlántico,2010,0.11828040883201997
Bogotá D.C.,2010,0.09779581656542163
Bolívar,2010,0.10230696393216837
Boyacá,2010,0.06537133752323626
Caldas,2010,0.05375580795043882
Caquetá,2010,0.10567595459236326
Casanare,2010,0.07702920211542884
Cauca,2010,0.07516202339870381
Cesar,2010,0.13628091210791135
Chocó,2010,0.1252170138888889
Córdoba,2010,0.09418088338396821
Cundinamarca,2010,0.09929238607415794
Guainía,2010,0.04
Guaviare,2010,0.15853658536585366
Huila,2010,0.09952646710637578
La Guajira,2010,0.2193897257628428
Magdalena,2010,0.07900792636154436
Meta,2010,0.11181661644425311
Nariño,2010,0.14543643381895155
Norte De Santander,2010,0.10127231355959362
Putumayo,2010,0.0995260663507109
Quindío,2010,0.09757594354096348
Risaralda,2010,0.08659578391002397
Santander,2010,0.08339912438096606
Sucre,2010,0.08298395258059853
Tolima,2010,0.1288876435976464
Valle Del Cauca,2010,0.10282746231352027
Vaupés,2010,0.3888888888888889
Vichada,2010,0.19387755102040816
Departamento de oferta del programa,2010,2010.0
Amazonas,2010,0.7358490566037735
Antioquia,2010,0.1920751610797309
"Archipiélago De San Andrés, Providencia Y Santa Catalina",2010,0.5111111111111111
Atlántico,2010,0.29601406799531066
Bogotá D.C.,2010,0.1852149586803434
Bolívar,2010,0.21448863636363635
Boyacá,2010,0.07872426322163908
Caldas,2010,0.12138728323699421
Caquetá,2010,0.37389380530973454
Casanare,2010,0.19121447028423771
Cauca,2010,0.15568544102019127
Cesar,2010,0.3622641509433962
Chocó,2010,0.1134453781512605
Córdoba,2010,0.21323529411764705
Cundinamarca,2010,0.06956813980843556
Guaviare,2010,0.625
Huila,2010,0.1866913123844732
La Guajira,2010,0.47310126582278483
Magdalena,2010,0.2389016018306636
Meta,2010,0.11839323467230443
Nariño,2010,0.29188829787234044
