,prop_superior_mean,estrato_pred_mean,rural_share
prop_superior_mean,1.0,0.11531578464590057,-0.3908370024989669
estrato_pred_mean,0.11531578464590057,1.0,-0.2537730490218068
rural_share,-0.3908370024989669,-0.2537730490218068,1.0
