Área,2023_Hombre,2023_Mujer,2024_Hombre,2024_Mujer
Nacional,33.4,35.7,30.7,32.8
Cabeceras,30.7,32.8,27.5,29.6
Centros poblados y rural disperso,41.9,46.3,40.4,44.7
13 ciudades y A.M.,26.4,28,23.1,24.8
Otras cabeceras,36.5,39.5,33.4,36.1
